textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,ROMNEY,"Thank you, Bob. And thank you for agreeing to moderate this debate this evening. Thank you to Lynn University for welcoming us here. And Mr. President, it’s good to be with you again. We were together at a humorous event a little earlier, and it’s nice to maybe funny this time, not on purpose. We’ll see what happens. This is obviously an area of great concern to the entire world, and to America in particular, which is to see a — a complete change in the — the structure and the — the environment in the Middle East. With the Arab Spring, came a great deal of hope that there would be a change towards more moderation, and opportunity for greater participation on the part of women in public life, and in economic life in the Middle East. But instead, we’ve seen in nation after nation, a number of disturbing events. Of course we see in Syria, 30,000 civilians having been killed by the military there. We see in — in Libya, an attack apparently by, I think we know now, by terrorists of some kind against — against our people there, four people dead. Our hearts and — and minds go out to them. Mali has been taken over, the northern part of Mali by al-Qaeda type individuals. We have in — in Egypt, a Muslim Brotherhood president. And so what we’re seeing is a pretty dramatic reversal in the kind of hopes we had for that region. Of course the greatest threat of all is Iran, four years closer to a nuclear weapon. And — and we’re going to have to recognize that we have to do as the president has done. I congratulate him on — on taking out Osama bin Laden and going after the leadership in al-Qaeda. But we can’t kill our way out of this mess. We’re going to have to put in place a very comprehensive and robust strategy to help the — the world of Islam and other parts of the world, reject this radical violent extremism, which is — it’s certainly not on the run.",0.035220183,0.9209545,0.85068035,0.64033943,0.8550227,0.562761,0.8636192,0.8968135
2,ROMNEY,"It’s certainly not hiding. This is a group that is now involved in 10 or 12 countries, and it presents an enormous threat to our friends, to the world, to America, long term, and we must have a comprehensive strategy to help reject this kind of extremism.",0.063423134,0.55402756,0.6497981,0.43300533,0.34797347,0.13196917,0.49842337,0.76023656
3,OBAMA,"Well, my first job as commander in chief, Bob, is to keep the American people safe. And that’s what we’ve done over the last four years. We ended the war in Iraq, refocused our attention on those who actually killed us on 9/11. And as a consequence, Al Qaeda’s core leadership has been decimated. In addition, we’re now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security. And that allows us also to rebuild alliances and make friends around the world to combat future threats. Now with respect to Libya, as I indicated in the last debate, when we received that phone call, I immediately made sure that, number one, that we did everything we could to secure those Americans who were still in harm’s way; number two, that we would investigate exactly what happened, and number three, most importantly, that we would go after those who killed Americans and we would bring them to justice. And that’s exactly what we’re going to do. But I think it’s important to step back and think about what happened in Libya. Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for 40 years. Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend. We stand with them.",0.123468354,0.9117576,0.8337797,0.617099,0.82849365,0.5169943,0.8039515,0.90101206
4,OBAMA,"Now that represents the opportunity we have to take advantage of. And, you know, Governor Romney, I’m glad that you agree that we have been successful in going after Al Qaida, but I have to tell you that, you know, your strategy previously has been one that has been all over the map and is not designed to keep Americans safe or to build on the opportunities that exist in the Middle East.",0.056263726,0.89026636,0.7249722,0.7169274,0.5673123,0.62545824,0.62284344,0.881173
5,ROMNEY,"Well, my strategy is pretty straightforward, which is to go after the bad guys, to make sure we do our very best to interrupt them, to — to kill them, to take them out of the picture. But my strategy is broader than that. That’s — that’s important, of course. But the key that we’re going to have to pursue is a — is a pathway to get the Muslim world to be able to reject extremism on its own. We don’t want another Iraq, we don’t want another Afghanistan. That’s not the right course for us. The right course for us is to make sure that we go after the — the people who are leaders of these various anti-American groups and these — these jihadists, but also help the Muslim world. And how do we do that? A group of Arab scholars came together, organized by the U.N., to look at how we can help the — the world reject these — these terrorists. And the answer they came up with was this: One, more economic development. We should key our foreign aid, our direct foreign investment, and that of our friends, we should coordinate it to make sure that we — we push back and give them more economic development. Number two, better education. Number three, gender equality. Number four, the rule of law. We have to help these nations create civil societies. But what’s been happening over the last couple of years is, as we’ve watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in. And — and they’re throughout many nations in the Middle East.",0.3666224,0.70830035,0.7337644,0.49897632,0.71077883,0.10088148,0.7560042,0.8134013
6,ROMNEY,"It’s wonderful that Libya seems to be making some progress, despite this terrible tragedy. But next door, of course, we have Egypt. Libya’s 6 million population; Egypt, 80 million population. We want — we want to make sure that we’re seeing progress throughout the Middle East. With Mali now having North Mali taken over by Al Qaida; with Syria having Assad continuing to — to kill, to murder his own people, this is a region in tumult. And, of course, Iran on the path to a nuclear weapon, we’ve got real .",0.24603334,0.7223736,0.80665565,0.5524739,0.70258516,0.10088148,0.63588816,0.84766483
7,OBAMA,"Governor Romney, I’m glad that you recognize that Al Qaida is a threat, because a few months ago when you were asked what’s the biggest geopolitical threat facing America, you said Russia, not Al Qaida; you said Russia, in the 1980s, they’re now calling to ask for their foreign policy back because, you know, the Cold War’s been over for 20 years. But Governor, when it comes to our foreign policy, you seem to want to import the foreign policies of the 1980s, just like the social policies of the 1950s and the economic policies of the 1920s. You say that you’re not interested in duplicating what happened in Iraq. But just a few weeks ago, you said you think we should have more troops in Iraq right now. And the — the challenge we have — I know you haven’t been in a position to actually execute foreign policy — but every time you’ve offered an opinion, you’ve been wrong. You said we should have gone into Iraq, despite that fact that there were no weapons of mass destruction. You said that we should still have troops in Iraq to this day. You indicated that we shouldn’t be passing nuclear treaties with Russia despite the fact that 71 senators, Democrats and Republicans, voted for it. You said that, first, we should not have a timeline in Afghanistan. Then you said we should. Now you say maybe or it depends, which means not only were you wrong, but you were also confusing in sending mixed messages both to our troops and our allies.",0.13388206,0.7440378,0.47558665,0.7284215,0.85261124,0.34511116,0.8039515,0.7430121
8,OBAMA,"So, what — what we need to do with respect to the Middle East is strong, steady leadership, not wrong and reckless leadership that is all over the map. And unfortunately, that’s the kind of opinions that you’ve offered throughout this campaign, and it is not a recipe for American strength, or keeping America safe over the long haul.",0.046120718,0.7787711,0.6867874,0.5803737,0.3970314,0.06686595,0.46779838,0.84554404
9,ROMNEY,"Well, of course I don’t concur with what the president said about my own record and the things that I’ve said. They don’t happen to be accurate. But — but I can say this, that we’re talking about the Middle East and how to help the Middle East reject the kind of terrorism we’re seeing, and the rising tide of tumult and — and confusion. And — and attacking me is not an agenda. Attacking me is not talking about how we’re going to deal with the challenges that exist in the Middle East, and take advantage of the opportunity there, and stem the tide of this violence. But I’ll respond to a couple of things that you mentioned. First of all, Russia I indicated is a geopolitical foe. Not…",0.13908891,0.89577967,0.71621203,0.67889196,0.7505579,0.33568537,0.6240489,0.85662574
10,ROMNEY,"Excuse me. It’s a geopolitical foe, and I said in the same — in the same paragraph I said, and Iran is the greatest national security threat we face. Russia does continue to battle us in the U.N. time and time again. I have clear eyes on this. I’m not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin. And I’m certainly not going to say to him, I’ll give you more flexibility after the election. After the election, he’ll get more backbone. Number two, with regards to Iraq, you and I agreed I believe that there should be a status of forces agreement.",0.16765249,0.8964617,0.66175336,0.58284277,0.6457388,0.47583184,0.56401294,0.8637604
