textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,CLINTON,"How are you, Donald?",0.02072494,0.5629027,0.39066955,0.8357985,0.07083046,0.34038833,0.019243501,0.658008
2,CLINTON,"Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we’ll build together. Today is my granddaughter’s second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women’s work. I also want to see more companies do profit-sharing. If you help create the profits, you should be able to share in them, not just the executives at the top. And I want us to do more to support people who are struggling to balance family and work. I’ve heard from so many of you about the difficult choices you face and the stresses that you’re under. So let’s have paid family leave, earned sick days. Let’s be sure we have affordable child care and debt-free college. How are we going to do it? We’re going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, it’s good to be with you. We’re going to have a debate where we are talking about the important issues facing our country. You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.",0.026263772,0.92404324,0.8721673,0.44521314,0.838797,0.6920152,0.8869836,0.92244196
3,TRUMP,"Thank you, Lester. Our jobs are fleeing the country. They’re going to Mexico. They’re going to many other countries. You look at what China is doing to our country in terms of making our product. They’re devaluing their currency, and there’s nobody in our government to fight them. And we have a very good fight. And we have a winning fight. Because they’re using our country as a piggy bank to rebuild China, and many other countries are doing the same thing. So we’re losing our good jobs, so many of them. When you look at what’s happening in Mexico, a friend of mine who builds plants said it’s the eighth wonder of the world. They’re building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving. You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. They’re all leaving. And we can’t allow it to happen anymore. As far as child care is concerned and so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what we’re going to do, but perhaps we’ll be talking about that later. But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people. All you have to do is take a look at Carrier air conditioning in Indianapolis. They left—fired 1,400 people. They’re going to Mexico. So many hundreds and hundreds of companies are doing this. We cannot let it happen. Under my plan, I’ll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. That’s going to be a job creator like we haven’t seen since Ronald Reagan. It’s going to be a beautiful thing to watch. Companies will come. They will build. They will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.",0.123468354,0.915632,0.8592092,0.6440785,0.84722257,0.7559977,0.8402985,0.89550966
4,CLINTON,"Well, I think that trade is an important issue. Of course, we are 5 percent of the world’s population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals. We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle-down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we’ve ever had. I call it trumped-up trickle-down, because that’s exactly what it would be. That is not how we grow the economy. We just have a different view about what’s best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and that’s all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there. I don’t buy that. I have a different experience. My father was a small-businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we’ll grow. That’s the kind of economy I want us to see again.",0.0414203,0.9003076,0.79758567,0.6347418,0.8664169,0.73847073,0.8170386,0.8789611
5,TRUMP,"Well, for one thing—and before we start on that—my father gave me a very small loan in 1975, and I built it into a company that’s worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that’s the kind of thinking that our country needs. Our country’s in deep trouble. We don’t know what we’re doing when it comes to devaluations and all of these countries all over the world, especially China. They’re the best, the best ever at it. What they’re doing to us is a very, very sad thing. So we have to do that. We have to renegotiate our trade deals. And, Lester, they’re taking our jobs, they’re giving incentives, they’re doing things that, frankly, we don’t do. Let me give you the example of Mexico. They have a VAT tax. We’re on a different system. When we sell into Mexico, there’s a tax. When they sell in—automatic, 16 percent, approximately. When they sell into us, there’s no tax. It’s a defective agreement. It’s been defective for a long time, many years, but the politicians haven’t done anything about it. Now, in all fairness to Secretary Clinton—yes, is that OK? Good. I want you to be very happy. It’s very important to me. But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. She’s been doing this for 30 years. And why hasn’t she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact…",0.07291982,0.8688271,0.7797878,0.7206585,0.8300067,0.6071397,0.73777723,0.84457594
6,TRUMP,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement. They should have been doing this for years. What’s happened to our jobs and our country and our economy generally is—look, we owe $20 trillion. We cannot do it any longer, Lester.",0.017089844,0.7737671,0.798435,0.60418314,0.3724099,0.37855807,0.43009204,0.8060347
7,TRUMP,"Well, the first thing you do is don’t let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. They’re leaving, and they’re leaving in bigger numbers than ever. And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think you’re going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you’re wrong. And once you say you’re going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what I’m saying is, we can stop them from leaving. We have to stop them from leaving. And that’s a big, big factor.",0.14082454,0.7612986,0.721688,0.40530902,0.57876563,0.47583184,0.56055975,0.6048477
8,CLINTON,"Well, let’s stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, “Gee, I hope it does collapse, because then I can go in and buy some and make some money.” Well, it did collapse.",0.11067997,0.659063,0.6328791,0.38366714,0.66702414,0.5553158,0.5638099,0.52614826
9,TRUMP,"That’s called business, by the way.",0.011309455,0.32069492,0.21835022,0.16798511,0.089099705,0.14164105,0.09598828,0.6066054
10,CLINTON,"Nine million people—nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what I’ve proposed and looked at what Donald’s proposed, and basically they’ve said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. They’ve looked at my plans and they’ve said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean- energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it’s real.",0.103494145,0.8229481,0.7747212,0.48842382,0.85287964,0.6071397,0.813489,0.76891404
