textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,BIDEN,How are you? Good to be here. Thank you.,0.012691722,0.4809408,0.423297,0.71297896,0.089099705,0.373742,0.0497534,0.77879584
2,BIDEN,"You have to take a look at what I was left when I became president, what Mr. Trump left me. We had an economy that was in freefall. The pandemic are so badly handled, many people were dying. All he said was, it’s not that serious. Just inject a little bleach in your arm. It’d be all right. The economy collapsed. There were no jobs. Unemployment rate rose to 15 percent. It was terrible. And so, what we had to do is try to put things back together again. That’s exactly what we began to do. We created 15,000 new jobs. We brought on – in a position where we have 800,000 new manufacturing jobs. But there’s more to be done. There’s more to be done. Working class people are still in trouble. I come from Scranton, Pennsylvania. I come from a household where the kitchen table – if things weren’t able to be met during the month was a problem. Price of eggs, the price of gas, the price of housing, the price of a whole range of things. That’s why I’m working so hard to make sure I deal with those problems. And we’re going to make sure that we reduce the price of housing. We’re going to make sure we build 2 million new units. We’re going to make sure we cap rents, so corporate greed can’t take over. The combination of what I was left and then corporate greed are the reason why we’re in this problem right now. In addition to that, we’re in a situation where if you had – take a look at all that was done in his administration, he didn’t do much at all. By the time he left, there’s – things had been in chaos. There was literally chaos. And so, we put things back together. We created, as I said, those jobs. We made sure we had a situation where we now – we brought down the price of prescription drugs, which is a major issue for many people, to $15 for – for an insulin shot, as opposed to $400. No senior has to pay more than $200 for any drug – all the drugs they beginning next year. And the situation is making – and we’re going to make that available to everybody, to all Americans. So we’re working to bring down the prices around the kitchen table. And that’s what we’re going to get done.",0.20973456,0.86083436,0.8847756,0.36692032,0.8839479,0.81536955,0.87417555,0.7878438
3,TRUMP,"We had the greatest economy in the history of our country. We had never done so well. Every – everybody was amazed by it. Other countries were copying us. We got hit with COVID. And when we did, we spent the money necessary so we wouldn’t end up in a Great Depression the likes of which we had in 1929. By the time we finished – so we did a great job. We got a lot of credit for the economy, a lot of credit for the military, and no wars and so many other things. Everything was rocking good. But the thing we never got the credit for, and we should have, is getting us out of that COVID mess. He created mandates; that was a disaster for our country. But other than that, we had – we had given them back a – a country where the stock market actually was higher than pre-COVID, and nobody thought that was even possible. The only jobs he created are for illegal immigrants and bounceback jobs; they’re bounced back from the COVID. He has not done a good job. He’s done a poor job. And inflation’s killing our country. It is absolutely killing us.",0.102626406,0.86955756,0.81758803,0.44521314,0.7075017,0.570252,0.71383506,0.84519196
4,BIDEN,"Well, look, the greatest economy in the world, he’s the only one who thinks that, I think. I don’t know anybody else who thinks it was great – he had the greatest economy in the world. And, you know, the fact of the matter is that we found ourselves in a situation where his economy – he rewarded the wealthy. He had the largest tax cut in American history, $2 trillion. He raised the deficit larger than any president has in any one term. He’s the only president other than Herbert Hoover who has lost more jobs than he had when he began, since Herbert Hoover. The idea that he did something that was significant. And the military – you know, when he was president, they were still killing people in Afghanistan. He didn’t do anything about that. When he was president, we still found ourselves in a position where you had a notion that we were this safe country. The truth is, I’m the only president this century that doesn’t have any – this – this decade – doesn’t have any troops dying anywhere in the world, like he did.",0.11098998,0.8153271,0.72606814,0.44521314,0.7482935,0.63740736,0.6988628,0.8004472
5,TRUMP,Am I allowed to respond to him?,0.019351736,0.40150738,0.24661607,0.9134197,0.07850564,0.39763463,0.023271002,0.5537299
6,TRUMP,"Not going to drive them higher. It’s just going to cause countries that have been ripping us off for years, like China and many others, in all fairness to China – it’s going to just force them to pay us a lot of money, reduce our deficit tremendously, and give us a lot of power for other things. But he – he made a statement. The only thing he was right about is I gave you the largest tax cut in history. I also gave you the largest regulation cut in history. That’s why we had all the jobs. And the jobs went down and then they bounced back and he’s taking credit for bounceback jobs. You can’t do that. He also said he inherited 9 percent inflation. No, he inherited almost no inflation and it stayed that way for 14 months. And then it blew up under his leadership, because they spent money like a bunch of people that didn’t know what they were doing. And they don’t know what they were doing. It was the worst – probably the worst administration in history. There’s never been. And as far as Afghanistan is concerned, I was getting out of Afghanistan, but we were getting out with dignity, with strength, with power. He got out, it was the most embarrassing day in the history of our country’s life.",0.11419344,0.87578875,0.6194816,0.43300533,0.8366097,0.6740168,0.71950185,0.777631
7,TRUMP,"Because the tax cuts spurred the greatest economy that we’ve ever seen just prior to COVID, and even after COVID. It was so strong that we were able to get through COVID much better than just about any other country. But we spurred – that tax spurred. Now, when we cut the taxes – as an example, the corporate tax was cut down to 21 percent from 39 percent, plus beyond that – we took in more revenue with much less tax and companies were bringing back trillions of dollars back into our country. The country was going like never before. And we were ready to start paying down debt. We were ready to start using the liquid gold right under our feet, the oil and gas right under our feet. We were going to have something that nobody else has had. We got hit with COVID. We did a lot to fix it. I gave him an unbelievable situation, with all of the therapeutics and all of the things that we came up with. We – we gave him something great. Remember, more people died under his administration, even though we had largely fixed it. More people died under his administration than our administration, and we were right in the middle of it. Something which a lot of people don’t like to talk about, but he had far more people dying in his administration. He did the mandate, which is a disaster. Mandating it. The vaccine went out. He did a mandate on the vaccine, which is the thing that people most objected to about the vaccine. And he did a very poor job, just a very poor job. And I will tell you, not only poor there, but throughout the entire world, we’re no longer respected as a country. They don’t respect our leadership. They don’t respect the United States anymore. We’re like a Third World nation. Between weaponization of his election, trying to go after his political opponent, all of the things he’s done, we’ve become like a Third World nation. And it’s a shame the damage he’s done to our country. And I’d love to ask him, and will, why he allowed millions of people to come in here from prisons, jails and mental institutions to come into our country and destroy our country.",0.05230548,0.8646994,0.7716304,0.47910172,0.84641093,0.6188775,0.85525835,0.8370568
8,BIDEN,"He had the largest national debt of any president four-year period, number one. Number two, he got $2 trillion tax cut, benefited the very wealthy. What I’m going to do is fix the taxes. For example, we have a thousand trillionaires in America – I mean, billionaires in America. And what’s happening? They’re in a situation where they, in fact, pay 8.2 percent in taxes. If they just paid 24 percent or 25 percent, either one of those numbers, they’d raised $500 million – billion dollars, I should say, in a 10-year period. We’d be able to right – wipe out his debt. We’d be able to help make sure that – all those things we need to do, childcare, elder care, making sure that we continue to strengthen our healthcare system, making sure that we’re able to make every single solitary person eligible for what I’ve been able to do with the COVID – excuse me, with dealing with everything we have to do with. Look, if – we finally beat Medicare.",0.0665887,0.83441544,0.7899475,0.5716281,0.7186138,0.47583184,0.71950185,0.74758667
9,TRUMP,"Well, he’s right: He did beat Medicaid . He beat it to death. And he’s destroying Medicare, because all of these people are coming in, they’re putting them on Medicare, they’re putting them on Social Security. They’re going to destroy Social Security. This man is going to single-handedly destroy Social Security. These millions and millions of people coming in, they’re trying to put them on Social Security. He will wipe out Social Security. He will wipe out Medicare. So he was right in the way he finished that sentence, and it’s a shame. What’s happened to our country in the last four years is not to be believed. Foreign countries – I’m friends with a lot of people. They cannot believe what happened to the United States of America. We’re no longer respected. They don’t like us. We give them everything they want, and they – they think we’re stupid. They think we’re very stupid people. What we’re doing for other countries, and they do nothing for us. What this man has done is absolutely criminal.",0.30427247,0.87224036,0.8484437,0.37360445,0.44077942,0.5152022,0.32599387,0.4982369
10,TRUMP,Correct.,0.007351146,0.65557843,0.423297,0.66284686,0.19263089,0.4713463,0.08250451,0.76543844
