textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,BIDEN,"How you doing, man?",0.02968135,0.6765534,0.46800238,0.81282663,0.09455179,0.506055,0.029091854,0.7006543
2,TRUMP,How are you doing?,0.023317585,0.6520952,0.5505716,0.8418923,0.08375148,0.45798835,0.026570914,0.6974527
3,BIDEN,I’m well.,0.017089844,0.81025815,0.5811724,0.35692835,0.07850564,0.6521894,0.04786215,0.76717556
4,TRUMP,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school. And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn’t even think about not doing it. The only difference is they’d try and do it faster. There’s no way they would give it up. They had Merrick Garland, but the problem is they didn’t have the election so they were stopped. And probably that would happen in reverse, also. Definitely would happen in reverse. So we won the election and we have the right to do it, Chris.",0.039226998,0.9096175,0.52482206,0.51704997,0.84911317,0.70742446,0.8229188,0.9153347
5,BIDEN,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",0.009298885,0.7862953,0.64809793,0.5221292,0.07083046,0.26756167,0.1794269,0.9261788
6,TRUMP,"Thank you, Joe.",0.0042096307,0.7440378,0.52482206,0.4938409,0.10646603,0.3833935,0.07281966,0.8670705
7,BIDEN,"The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President. Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets. And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.",0.05354243,0.8988495,0.8656335,0.6384722,0.9055778,0.33100215,0.86977464,0.83729595
8,TRUMP,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-",0.012754552,0.89491177,0.77556497,0.727846,0.6433261,0.55161005,0.6974301,0.8638477
9,BIDEN,He’s elected to the next election.,0.013068704,0.22748272,0.10744284,0.091476426,0.064608715,0.19273871,0.12294967,0.6974527
10,TRUMP,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy with.",0.06184035,0.8581692,0.72606814,0.6496964,0.45043766,0.29879752,0.4073317,0.71787465
11,BIDEN,That’s simply not true.,0.012503231,0.20325422,0.20909274,0.44521314,0.059745956,0.077306986,0.034252916,0.6066054
12,TRUMP,"Well, you’re certainly going to socialist. You’re going to socialist medicine-",0.12520397,0.5314953,0.21835022,0.15779574,0.04350852,0.08766961,0.0034848931,0.5049093
13,BIDEN,Open discussion.,0.01024134,0.5407564,0.31996915,0.34698093,0.115097,0.37855807,0.078154646,0.7163711
14,BIDEN,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",0.02072494,0.89680284,0.49291897,0.6440785,0.65346754,0.74699897,0.73498,0.8538148
15,TRUMP,That’s not what you’ve said and it’s not what your party is saying.,0.03545588,0.43502206,0.17069851,0.5729101,0.16807398,0.0707874,0.09829796,0.40223753
16,BIDEN,That is simply a lie.,0.1537979,0.25208217,0.19173165,0.26562017,0.040185187,0.06533013,0.015323395,0.37803748
17,TRUMP,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.,0.045131154,0.363303,0.09135507,0.15272859,0.1509712,0.0798312,0.0914217,0.33884993
18,BIDEN,"The party is me. Right now, I am the Democratic Party.",0.015770407,0.7378309,0.092282765,0.13265374,0.08375148,0.53690284,0.078154646,0.7269253
19,TRUMP,"And they’re going to dominate you, Joe. You know that.",0.165053,0.50845575,0.24661607,0.107718125,0.04462844,0.10696436,0.01687866,0.40223753
20,BIDEN,I am the Democratic Party right now.,0.020842785,0.7950994,0.096258074,0.09484769,0.041287098,0.5205869,0.07494016,0.6410067
21,TRUMP,Not according to Harris.,0.0109324735,0.18180253,0.087692045,0.39601225,0.16462365,0.10088148,0.07494016,0.5800675
22,BIDEN,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",0.026970858,0.84308904,0.73046076,0.8442167,0.5662735,0.43605614,0.63205737,0.5762704
23,TRUMP,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.",0.05651112,0.29427427,0.727165,0.09259545,0.26778153,0.237314,0.2445763,0.17363873
24,BIDEN,I’m happy to talk about this.,0.015581916,0.8153271,0.58772856,0.42085955,0.057352178,0.617567,0.0624929,0.8513746
25,TRUMP,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.",0.20195828,0.3728518,0.56798536,0.38675448,0.3876362,0.23307432,0.3759815,0.35827813
26,TRUMP,"You would have been much later, Joe, much later.",0.01608456,0.731637,0.43065208,0.10421379,0.08641282,0.5832605,0.052624613,0.7384509
27,TRUMP,We’re talking about two million people.,0.014073989,0.49928698,0.30014935,0.24331647,0.07336327,0.25015506,0.056517217,0.5934472
28,BIDEN,You’re not going to be able to shut him up.,0.25727063,0.4304413,0.33486533,0.11831558,0.04916908,0.2808293,0.029940741,0.45884904
29,BIDEN,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-",0.018723432,0.5268742,0.355006,0.60234463,0.53940433,0.09404765,0.5986612,0.7078785
